客人CUS,款号STYLE,参阅号REF,数量QTY,全码单（拉链罗文）,全码单实际,面料预计最晚,面料实际,辅料预计最晚,辅料实际,物料到位时间,物料全实际,进仓期,进仓期实际,IHD到客人仓库,IHD实际,工厂,产品类型,订单状态
A & E,47151-AQC,,1200,2020-04-20,2020-05-20,2020-04-20,,2020-04-20,,5/10,,6/25,,2020-07-15,,苏微,毛外套,操作中
A & E,47151-NVB,,1200,2020-04-20,2020-05-30,2020-04-20,,2020-04-20,,5/10,,6/25,,2020-07-15,,苏微,毛外套,操作中
A & E,47151-NVG,,1200,2020-04-20,,2020-04-20,,2020-04-20,,5/10,,6/25,,2020-07-15,,苏微,毛外套,操作中
A & E,47151-GYY,,1200,2020-04-20,,2020-04-20,,2020-04-20,,5/10,,6/25,,2020-07-15,,苏微,毛外套,操作中
A & E,47151-AQC,,196,2020-04-20,,2020-04-20,,2020-04-20,,5/10,,6/25,,2020-07-15,,苏微,毛外套,操作中
A & E,47151-NVB,,196,2020-04-20,,2020-04-20,,2020-04-20,,5/10,,6/25,,2020-07-15,,苏微,毛外套,操作中
A & E,47151-NVG,,195,2020-04-20,,2020-04-20,,2020-04-20,,5/10,,6/25,,2020-07-15,,苏微,毛外套,操作中
A & E,47151-GYY,,196,2020-04-20,,2020-04-20,,2020-04-20,,5/10,,6/25,,2020-07-15,,苏微,毛外套,操作中
A & E,47151-PKL,,57,2020-05-20,,2020-05-20,,2020-05-20,,6/10,,7/25,,2020-08-15,,苏微,毛外套,取消
A & E,47151-AQC,,72,2020-05-20,,2020-05-20,,2020-05-20,,6/10,,7/25,,2020-08-15,,苏微,毛外套,操作中
A & E,47151-NVB,,48,2020-05-20,,2020-05-20,,2020-05-20,,6/10,,7/25,,2020-08-15,,苏微,毛外套,操作中
A & E,47151-NVC,,76,2020-05-20,,2020-05-20,,2020-05-20,,6/10,,7/25,,2020-08-15,,苏微,毛外套,取消
A & E,47151-NVG,,64,2020-05-20,,2020-05-20,,2020-05-20,,6/10,,7/25,,2020-08-15,,苏微,毛外套,操作中
A & E,47151-GYY,,96,2020-05-20,,2020-05-20,,2020-05-20,,6/10,,7/25,,2020-08-15,,苏微,毛外套,操作中
A & E,F2047138-GNO,,1150,2020-06-05,,2020-06-05,,2020-06-05,,7/3,,8/15,,2020-08-15,,苏微,毛外套,操作中
A & E,F2047149-BLG,,1198,2020-06-05,,2020-06-05,,2020-06-05,,7/3,,8/15,,2020-08-15,,苏微,毛外套,操作中
A & E,F2047149-RDH,,1398,2020-06-05,,2020-06-05,,2020-06-05,,7/3,,8/15,,2020-08-15,,苏微,毛外套,操作中
A & E,F20C47134-RDF,,1350,2020-06-05,,2020-06-05,,2020-06-05,,7/3,,8/15,,2020-08-15,,苏微,毛外套,操作中
AMEREX,D520485,FMD02485,3702,2019-11-30,,2019-12-15,,2019-12-15,,1/20,,4/13,,2020-05-07,,苏徽,化纤棉服,已出货
AMEREX,D720485,FWD02485,756,2019-11-30,,2019-12-15,,2019-12-15,,1/20,,4/13,,2020-05-07,,苏徽,化纤棉服,已出货
AMEREX,D520485-WN,FMD02485-WN,274,2019-11-30,,2019-12-15,,2019-12-15,,1/20,,5/30,,,,苏徽,化纤棉服,已出货
AMEREX,D720485-WN,FWD02485-WN,203,2019-11-30,,2019-12-15,,2019-12-15,,1/20,,5/30,,,,苏徽,化纤棉服,已出货
AMEREX,M720485-AS,FWD02485-AS,400,2020-06-30,,2020-06-30,,2020-06-30,,7/25,,8/28,,2020-10-01,,苏徽,化纤棉服,操作中
AMEREX,M720485-AS,FWD02485-AS,10,2020-06-30,,2020-06-30,,2020-06-30,,7/25,,8/28,,2020-10-01,,苏徽,化纤棉服,操作中
AMEREX,M720485-AS,FWD02485-AS,400,2020-06-30,,2020-06-30,,2020-06-30,,7/25,,8/28,,2020-10-01,,苏徽,化纤棉服,操作中
AMEREX,00205298-AV,FWD02485-AV,600,2020-06-30,,2020-06-30,,2020-06-30,,7/25,,8/28,,2020-10-01,,苏徽,化纤棉服,操作中
AMEREX,00205298-AY,FWD02485-AY,60,2020-06-30,,2020-06-30,,2020-06-30,,7/25,,8/28,,2020-10-01,,苏徽,化纤棉服,操作中
AMEREX,D520663A-KO,FMD92663A-KO,2282,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,睿盛龙,针织外套,操作中
AMEREX,D520663A-KO,FMD92663A-KO,816,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,睿盛龙,针织外套,操作中
AMEREX,D720663A-KO,FWD92663A-KO,504,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,睿盛龙,针织外套,操作中
AMEREX,D520663AP-KO,FMD92663AP-KO,2282,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,睿盛龙,针织外套,操作中
AMEREX,D520663AP-KO,FMD92663AP-KO,405,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,睿盛龙,针织外套,操作中
AMEREX,D720663AP-KO,FWD92663AP-KO,501,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,睿盛龙,针织外套,操作中
AMEREX,00205049-AV,FWD92663B-AV,600,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,5/26,,2020-07-01,,睿盛龙,针织外套,操作中
AMEREX,00205049-AY,FWD92663B-AY,30,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,12/1,,,,睿盛龙,针织外套,操作中
AMEREX,D520456-KO,FMD92456-KO,6000,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,化纤棉服,操作中
AMEREX,D520456-KO,FMD92456-KO,48,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,化纤棉服,操作中
AMEREX,D520456-KO,FMD92456-KO,906,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,化纤棉服,操作中
AMEREX,D520456-BU,FMD92456-BU,1200,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,凯燕,化纤棉服,操作中
AMEREX,D720456-KO,FWD92456-BU,1536,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,凯燕,化纤棉服,操作中
AMEREX,D820456-KO,FPD92456-BU,1158,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,凯燕,化纤棉服,操作中
AMEREX,D520467-KO,FMD92467-KO,6048,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,睿盛龙,化纤棉服,操作中
AMEREX,D520467-KO,FMD92467-KO,1704,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,睿盛龙,化纤棉服,操作中
AMEREX,D520685-KO,FMD02685-KO,6349,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D520685-KO,FMD02685-KO,909,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D520685P-KO,FMD02685P-KO,16394,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D520685P-KO,FMD02685P-KO,1998,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D520685P-KO,FMD02685P-KO,2808,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D720685-KO,FWD02685-KO,1194,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D720685P-KO,FWD02685P-KO,1956,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D720685P-KO,FWD02685P-KO,906,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D820685-KO,FPD02685-KO,300,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D820685P-KO,FPD02685P-KO,600,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D520685P-BV,FMD02685P-BV,180,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/1,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D720685P-BV,FWD02685P-BV,240,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/1,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D520685,FMD02685,120,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,D520685P,FMD02685P,120,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,00205305-AV,FWD02685-AV,200,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,00205305-AV,FWD02685P-AV,400,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,00205305-AY,FWD02685-AY,30,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,12/1,,,,凯燕,针织外套,操作中
AMEREX,00205305-AY,FWD02685P-AY,30,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,12/1,,,,凯燕,针织外套,操作中
AMEREX,216063-JP,FMD02496-JP,2974,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,凯燕,化纤棉服,操作中
AMEREX,216063-JP,FMD02496-JP,2883,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,凯燕,化纤棉服,操作中
AMEREX,216063-JP,FMD02496-JP,1001,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,凯燕,化纤棉服,操作中
AMEREX,D520915DS-KO,FMD92915-KO,721,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,苏徽,针织外套,操作中
AMEREX,D720915DS-KO,FWD92915-KO,402,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,苏徽,针织外套,操作中
AMEREX,J20749X-ST,J2749-ST,1200,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,睿盛龙,针织外套,操作中
AMEREX,J20749X-ST,J2749-ST,24,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,睿盛龙,针织外套,操作中
AMEREX,J20749X-BL,J2749-BL,4738,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,睿盛龙,针织外套,操作中
AMEREX,J20749X-BL,J2749-BL,892,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/11,,2020-07-15,,睿盛龙,针织外套,操作中
AMEREX,J20949X-BL,J2749W-BL,1506,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,睿盛龙,针织外套,操作中
AMEREX,J20949X-BL,J2749W-BL,452,2020-03-20,,2020-03-20,,2020-03-20,,4/30,,6/25,,2020-07-30,,睿盛龙,针织外套,操作中
AMEREX,217168-JP,FMD92678-JP,4624,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168-JP,FMD92678-JP,6371,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168-JP,FMD92678-JP,1501,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168W-JP,FWD92678-JP,1393,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168W-JP,FWD92678-JP,658,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168W-JP,FWD92678-JP,700,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168-JP,FMD92678P-JP,4620,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168-JP,FMD92678P-JP,4540,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168-JP,FMD92678P-JP,6100,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168-JP,FMD92678P-JP,4231,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168-JP,FMD92678P-JP,1200,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168-JP,FMD92678P-JP,1001,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168W-JP,FWD92678P-JP,1402,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168W-JP,FWD92678P-JP,1402,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168W-JP,FWD92678P-JP,541,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168W-JP,FWD92678P-JP,541,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168W-JP,FWD92678P-JP,500,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,217168W-JP,FWD92678P-JP,600,2020-03-20,,2020-03-20,,2020-03-20,,4/20,,6/11,,2020-07-15,,凯燕,针织外套,操作中
AMEREX,A370870SG-QV,FMD92664PSG-QV,2365,2020-03-20,,2020-03-20,,2020-03-20,,5/10,,6/25,,2020-07-30,,凯燕,针织外套,操作中
AMEREX,A370870SG-QV,FWD92664PSG-QV,1011,2020-03-20,,2020-03-20,,2020-03-20,,5/10,,6/25,,2020-07-30,,凯燕,针织外套,操作中
AMEREX,A370870SG-QV,FMD92664PSG-QV,1730,2020-03-20,,2020-03-20,,2020-03-20,,5/10,,6/25,,2020-07-30,,凯燕,针织外套,操作中
AMEREX,A370870SG-QV,FWD92664PSG-QV,744,2020-03-20,,2020-03-20,,2020-03-20,,5/10,,6/25,,2020-07-30,,凯燕,针织外套,操作中
AVALON,W0092A01OD,,168,2020-02-28,,2020-02-28,,2020-02-28,,2/28,,5/12,,FOB单,,蕊思,梭织裙,已出货
AVALON,W0092A01OD,,67,2020-02-28,,2020-02-28,,2020-02-28,,2/28,,5/12,,FOB单,,蕊思,梭织裙,已出货
AVALON,W0092A01OD,,65,2020-02-28,,2020-02-28,,2020-02-28,,2/28,,5/12,,FOB单,,蕊思,梭织裙,已出货
AVALON,W0094A01OD,,80,2020-02-28,,2020-02-28,,2020-02-28,,2/28,,5/12,,FOB单,,蕊思,梭织裙,已出货
AVALON,57785C0001,,311,2020-01-10,,2020-01-05,,2020-01-05,,2/10,,6/7,,2020-07-01,,苏徽,梭织外套,已出货
AVALON,57785D0001,大码,116,2020-01-10,,2020-01-05,,2020-01-05,,2/10,,6/7,,2020-07-01,,苏徽,梭织外套,已出货
AVALON,120096C01,,146,2020-01-10,,2020-01-05,,2020-02-01,,2/20,,6/7,,2020-07-01,,苏徽,梭织裙,已出货
AVALON,120096D01,大码,54,2020-01-10,,2020-01-05,,2020-02-01,,2/20,,6/7,,2020-07-01,,苏徽,梭织裙,已出货
AVALON,GL439108BG,30934,900,2020-02-25,,2020-02-25,,2020-02-25,,3/30,,6/8,,2020-06-30,,华阳,毛外套,已出货
AVALON,GL439108BG,30934,60,2020-02-25,,2020-02-25,,2020-02-25,,3/30,,6/8,,2020-06-30,,华阳,毛外套,已出货
AVALON,GL439108BG,30934,500,2020-02-25,,2020-02-25,,2020-02-25,,3/30,,6/8,,2020-06-30,,华阳,毛外套,已出货
AVALON,57826A0001OD,,504,2020-03-25,,2020-03-15,,2020-03-25,,4/10,,7/12,,2020-08-05,,苏徽,仿皮外套,操作中
AVALON,57826A0001OD,,36,2020-03-25,,2020-03-15,,2020-03-25,,4/10,,7/12,,2020-08-05,,苏徽,仿皮外套,操作中
AVALON,57826A0001OD,,120,2020-03-25,,2020-03-15,,2020-03-25,,4/10,,7/12,,2020-08-05,,苏徽,仿皮外套,操作中
AVALON,57826A0001OD,,7,2020-03-25,,2020-03-15,,2020-03-25,,4/10,,7/12,,2020-08-05,,苏徽,仿皮外套,操作中
AVALON,57928A0001,,1000,2020-03-25,,2020-03-15,,2020-03-25,,4/10,,5/15,,2020-06-10,,蕊思,仿皮外套,已出货
AVALON,57928A0001,,100,2020-03-25,,2020-03-15,,2020-03-25,,4/10,,5/15,,2020-06-10,,蕊思,仿皮外套,已出货
AVALON,57928A0001,,1500,2020-03-25,,2020-03-15,,2020-03-25,,4/10,,5/15,,2020-06-10,,蕊思,仿皮外套,已出货
AVALON,57928A0001,,6,2020-03-25,,2020-03-15,,2020-03-25,,4/10,,5/15,,2020-06-10,,蕊思,仿皮外套,已出货
AVALON,W0183A01OD,,100,2020-05-05,,2020-04-30,,2020-05-10,,5/30,,6/29,,FOB单,,,毛外套,操作中
AVALON,W0179A01OD,,80,2020-05-05,,2020-04-30,,2020-05-10,,5/30,,6/29,,FOB单,,,,操作中
AVALON,W0182A01OD,,60,2020-05-05,,2020-04-30,,2020-05-10,,5/30,,6/29,,FOB单,,,,操作中
AVALON,W0185A01OD,,144,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0185A01OD,,141,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0185A01OD,,65,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0177A01OD,,100,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0184A01OD,,145,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0184A01OD,,140,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0184A01OD,,65,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0203A01OD,,77,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0203A01OD,,76,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0203A01OD,,73,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0203A01OD,,74,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0202A01OD,,120,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0186A01OD,,78,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0186A01OD,,76,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0186A01OD,,73,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0186A01OD,,73,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0189A01OD,,120,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0189A02OD,,67,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0189A02OD,,63,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0187A02OD,,80,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0187A01OD,,120,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0205A01OD,,69,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0205A01OD,,66,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0205A01OD,,65,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0206A01OD,,69,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0206A01OD,,66,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0206A01OD,,65,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0249A02,,100,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0207A01OD,,69,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0207A01OD,,66,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0207A01OD,,65,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0175A01OD,,200,2020-06-05,,2020-06-30,,2020-06-10,,6/30,,7/29,,FOB单,,,,操作中
AVALON,W0223A01OD,,100,2020-07-05,,2020-06-30,,2020-06-25,,7/15,,8/12,,FOB单,,,,操作中
AVALON,W0176A01OD,,80,2020-07-05,,2020-06-30,,2020-06-25,,7/15,,8/12,,FOB单,,,,操作中
AVALON,W0188A01OD,,77,2020-07-05,,2020-06-30,,2020-06-25,,7/15,,8/12,,FOB单,,,,操作中
AVALON,W0188A01OD,,73,2020-07-05,,2020-06-30,,2020-06-25,,7/15,,8/12,,FOB单,,,,操作中
AVALON,W0178A01OD,,100,2020-07-05,,2020-06-30,,2020-06-25,,7/15,,8/12,,FOB单,,,,操作中
AVALON,57922A0001OD,,27732,2020-04-30,,2020-04-30,,2020-04-30,,5/18,,6/20,,2020-07-20,,,,操作中
AVALON,57922A0001OD,,1830,2020-04-30,,2020-04-30,,2020-04-30,,5/18,,6/20,,2020-07-13,,,,操作中
AVALON,57922A0001OD,,4500,2020-04-30,,2020-04-30,,2020-04-30,,5/18,,6/20,,2020-07-20,,,,操作中
AVALON,57922A0001OD,,9000,2020-04-30,,2020-04-30,,2020-04-30,,5/18,,7/10,,2020-08-05,,,,操作中
AVALON,57922B0001OD,,1624,2020-05-15,,2020-04-30,,2020-04-30,,5/18,,6/20,,2020-07-20,,,,操作中
AVALON,57922B0001OD,,138,2020-05-15,,2020-04-30,,2020-04-30,,5/18,,6/20,,2020-07-13,,,,操作中
AVALON,57922A0001,,20004,2020-05-30,,2020-05-30,,2020-05-30,,6/10,,7/10,,2020-08-05,,,,操作中
AVALON,51800A0001,,1286,2020-05-20,,2020-05-20,,2020-05-20,,6/10,,7/17,,2020-08-12,,,,操作中
AVALON,51800A0001,,60,2020-05-20,,2020-05-20,,2020-05-20,,6/10,,7/17,,2020-08-12,,,,操作中
AVALON,57807C0001,,1700,2020-05-30,,2020-05-30,,2020-05-30,,6/20,,7/24,,2020-08-18,,,,操作中
AVALON,57793C0001,,2375,2020-05-30,,2020-05-30,,2020-05-30,,6/20,,7/24,,2020-08-18,,,,操作中
AVALON,57915A0001OD,NB40100018688,5213,2020-06-30,,2020-06-30,,2020-06-30,,7/20,,9/2,,2020-09-30,,,,操作中
AVALON,57915A0002OD,NB40100018688,3107,2020-06-30,,2020-06-30,,2020-06-30,,7/20,,9/2,,2020-09-30,,,,操作中
AVALON,57915A0003OD,NB40100018688,2002,2020-06-30,,2020-06-30,,2020-06-30,,7/20,,9/2,,2020-09-30,,,,操作中
AVALON,57915A0004OD,NB40100018688,5213,2020-06-30,,2020-06-30,,2020-06-30,,7/20,,9/2,,2020-09-30,,,,操作中
AVALON,57961A0002,,11067,2020-06-20,,2020-06-20,,2020-06-20,,7/6,,8/14,,2020-09-09,,,,操作中
AVALON,57962A0002,,4419,2020-06-20,,2020-06-20,,2020-06-20,,7/6,,8/14,,2020-09-09,,,,操作中
AVALON,57944A0001,蓝格,25295,2020-06-30,,2020-06-30,,2020-06-30,,7/20,,8/29,,2020-09-23,,,,操作中
AVALON,57944A0002,红格,21716,2020-06-30,,2020-06-30,,2020-06-30,,7/20,,8/29,,2020-09-23,,,,操作中
AVALON,57966A0001,仿皮复合,7723,2020-06-30,,2020-06-30,,2020-06-30,,7/15,,8/29,,2020-09-23,,,,操作中
AVALON,57966A0002,麂皮复合,8124,2020-06-30,,2020-06-30,,2020-06-30,,7/15,,8/29,,2020-09-23,,,,操作中
AVALON,57966B0001,仿皮复合,100,2020-06-30,,2020-06-30,,2020-06-30,,7/15,,8/29,,2020-09-23,,,,操作中
AVALON,57966B0002,麂皮复合,100,2020-06-30,,2020-06-30,,2020-06-30,,7/15,,8/29,,2020-09-23,,,,取消
AVALON,57973A0001,,680,2020-06-30,,2020-06-30,,2020-06-30,,7/15,,8/10,,2020-09-02,,,,操作中
AVALON,57973A0001,,60,2020-06-30,,2020-06-30,,2020-06-30,,7/15,,8/10,,2020-09-02,,,,操作中
AVALON,57973A0001,,60,2020-06-30,,2020-06-30,,2020-06-30,,7/15,,8/10,,2020-09-02,,,,操作中
AVALON,57974A0001,,668,2020-06-30,,2020-06-30,,2020-06-30,,7/15,,8/10,,2020-09-02,,,,操作中
AVALON,57974A0001,,70,2020-06-30,,2020-06-30,,2020-06-30,,7/15,,8/10,,2020-09-02,,,,操作中
AVALON,57974A0001,,60,2020-06-30,,2020-06-30,,2020-06-30,,7/15,,8/10,,2020-09-02,,,,操作中
BERNARDO,  20368C500,,1110,,,2020-03-28,,2020-04-05,,4/30,,5/18,,2020-06-10,,格麻丝,毛外套,操作中
BERNARDO,20579C505,,1135,2020-04-05,,2020-03-15,,2020-04-05,,5/10,,6/13,,2020-07-05,,华阳,仿皮外套,操作中
BERNARDO,567508,,10968,2020-03-15,,2020-03-08,,2020-03-08,,4/30,,6/7,,2020-06-30,,华阳,仿皮外套,操作中
HMK,U521121BNR,91121LB,2354,2019-12-28,,2019-12-12,,2020-02-01,,2/28,,4/20,,,,苏徽,毛外套,已出货
HMK,U521121BNR,91121LB,6900,2019-12-28,,2019-12-12,,2019-12-05,,1/9,,4/20,,,,苏徽,毛外套,已出货
HMK,U521121BNR,91121LB,10524,2019-12-28,,2019-12-12,,2019-12-05,,1/9,,4/20,,,,苏徽,毛外套,已出货
HMK,U521121BNR,91121LB,6972,2019-12-28,,2019-12-12,,2019-12-05,,3/20,,6/15,,,,苏徽,毛外套,已出货
HMK,U521121BNR,91121LB,800,2019-12-28,,2019-12-12,,2020-02-01,,2/28,,4/20,,,,苏徽,毛外套,已出货
HMK,U520774BNR,90774LB,1058,2019-12-20,,2019-12-22,,2019-12-05,,1/15,,4/20,,,,雪奈利,毛外套,已出货
